station_id,name,latitude,longitude,capacity,num_bikes_available,last_reported
72,W 52 St & 11 Ave,40.76727216,-73.99392888,39,7,2016-01-22
79,Franklin St & W Broadway,40.71911552,-74.00666661,33,33,2016-01-22
82,St James Pl & Pearl St,40.71117416,-74.00016545,27,0,2016-01-22
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,62,41,2016-01-22
116,W 17 St & 8 Ave,40.74177603,-74.00149746,39,20,2016-01-22
119,Park Ave & St Edwards St,40.69608941,-73.97803415,19,4,2016-01-22
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,19,2,2016-01-22
127,Barrow St & Hudson St,40.73172428,-74.00674436,31,10,2016-01-22
128,MacDougal St & Prince St,40.72710258,-74.00297088,30,21,2016-01-22
137,E 56 St & Madison Ave,40.761628,-73.972924,46,31,2016-01-22
143,Clinton St & Joralemon St,40.69239502,-73.99337909,24,4,2016-01-22
144,Nassau St & Navy St,40.69839895,-73.98068914,19,14,2016-01-22
146,Hudson St & Reade St,40.71625008,-74.0091059,39,9,2016-01-22
147,Greenwich St & Warren St,40.71542197,-74.01121978,33,15,2016-01-22
150,E 2 St & Avenue C,40.7208736,-73.98085795,31,2,2016-01-22
151,Cleveland Pl & Spring St,40.722103786686034,-73.99724900722504,33,11,2016-01-22
152,Warren St & Church St,40.71473993,-74.00910627,29,26,2016-01-22
153,E 40 St & 5 Ave,40.752062307,-73.9816324043,55,19,2016-01-22
157,Henry St & Atlantic Ave,40.69089272,-73.99612349,23,7,2016-01-22
160,E 37 St & Lexington Ave,40.748238,-73.978311,26,3,2016-01-22
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,35,27,2016-01-22
164,E 47 St & 2 Ave,40.75323098,-73.97032517,47,10,2016-01-22
167,E 39 St & 3 Ave,40.7489006,-73.97604882,45,23,2016-01-22
168,W 18 St & 6 Ave,40.73971301,-73.99456405,47,36,2016-01-22
173,Broadway & W 49 St,40.76068327096592,-73.9845272898674,51,8,2016-01-22
174,E 25 St & 1 Ave,40.7381765,-73.97738662,30,9,2016-01-22
195,Liberty St & Broadway,40.70905623,-74.01043382,45,20,2016-01-22
212,W 16 St & The High Line,40.74334935,-74.00681753,28,4,2016-01-22
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,23,10,2016-01-22
217,Old Fulton St,40.70277159,-73.99383605,39,17,2016-01-22
223,W 13 St & 7 Ave,40.73781509,-73.99994661,33,12,2016-01-22
224,Spruce St & Nassau St,40.71146364,-74.00552427,31,4,2016-01-22
225,W 14 St & The High Line,40.74195138,-74.00803013,37,18,2016-01-22
228,E 48 St & 3 Ave,40.7546011026,-73.971878855,55,11,2016-01-22
229,Great Jones St,40.72743423,-73.99379025,23,22,2016-01-22
232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,23,7,2016-01-22
233,Cadman Plaza W & Pierrepont St,40.69475701363877,-73.99052739143372,38,3,2016-01-22
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,39,6,2016-01-22
237,E 11 St & 2 Ave,40.73047309,-73.98672378,39,2,2016-01-22
238,Bank St & Washington St,40.7361967,-74.00859207,31,17,2016-01-22
239,Willoughby St & Fleet St,40.69196566,-73.9813018,31,14,2016-01-22
241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,23,4,2016-01-22
242,Carlton Ave & Flushing Ave,40.697787,-73.973736,23,4,2016-01-22
243,Fulton St & Rockwell Pl,40.688226,-73.979382,31,27,2016-01-22
244,Willoughby Ave & Hall St,40.69196035,-73.96536851,31,5,2016-01-22
245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,23,7,2016-01-22
247,Perry St & Bleecker St,40.73535398,-74.00483091,20,11,2016-01-22
248,Laight St & Hudson St,40.72185379,-74.00771779,23,13,2016-01-22
249,Harrison St & Hudson St,40.71870987,-74.0090009,27,25,2016-01-22
250,Lafayette St & Jersey St,40.72456089,-73.99565293,40,38,2016-01-22
251,Mott St & Prince St,40.72317958,-73.99480012,27,4,2016-01-22
252,MacDougal St & Washington Sq,40.73226398,-73.99852205,33,2,2016-01-22
253,W 13 St & 5 Ave,40.73543934,-73.99453948,55,16,2016-01-22
254,W 11 St & 6 Ave,40.73532427,-73.99800419,31,6,2016-01-22
257,Lispenard St & Broadway,40.71939226,-74.00247214,39,35,2016-01-22
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,23,0,2016-01-22
259,South St & Whitehall St,40.70122128,-74.01234218,39,35,2016-01-22
260,Broad St & Bridge St,40.70365182,-74.01167797,35,25,2016-01-22
261,Johnson St & Gold St,40.69474881,-73.98362464,27,13,2016-01-22
262,Washington Park,40.6917823,-73.9737299,24,1,2016-01-22
263,Elizabeth St & Hester St,40.71729,-73.996375,31,0,2016-01-22
264,Maiden Ln & Pearl St,40.70706456,-74.00731853,27,24,2016-01-22
265,Stanton St & Chrystie St,40.72229346,-73.99147535,35,11,2016-01-22
266,Avenue D & E 8 St,40.72368361,-73.97574813,24,2,2016-01-22
267,Broadway & W 36 St,40.75097711,-73.98765428,57,1,2016-01-22
268,Howard St & Centre St,40.71910537,-73.99973337,27,25,2016-01-22
270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,23,6,2016-01-22
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,31,20,2016-01-22
275,Washington Ave & Greene Ave,40.68650065,-73.96563307,19,3,2016-01-22
