station_id,name,latitude,longitude,capacity,num_bikes_available,last_reported
482,W 15 St & 7 Ave,40.73935542,-73.99931783,77,69,2020-04-15
2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056,12,4,2020-04-15
461,E 20 St & 2 Ave,40.73587678,-73.98205027,56,46,2020-04-15
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,62,51,2020-04-15
445,E 10 St & Avenue A,40.72740794,-73.98142006,80,66,2020-04-15
3746,6 Ave & Broome St,40.724308321602166,-74.00473035871983,48,33,2020-04-15
301,E 2 St & Avenue B,40.72217444,-73.98368779,58,37,2020-04-15
509,9 Ave & W 22 St,40.7454973,-74.00197139,61,38,2020-04-15
434,9 Ave & W 18 St,40.74317449,-74.00366443,60,36,2020-04-15
474,5 Ave & E 29 St,40.7451677,-73.98683077,56,29,2020-04-15
267,Broadway & W 36 St,40.75097711,-73.98765428,78,49,2020-04-15
468,Broadway & W 56 St,40.7652654,-73.98192338,65,36,2020-04-15
492,W 33 St & 7 Ave,40.75019995,-73.99093085,68,37,2020-04-15
501,FDR Drive & E 35 St,40.744219,-73.97121214,79,49,2020-04-15
359,E 47 St & Park Ave,40.75510267,-73.97498696,65,33,2020-04-15
173,Broadway & W 49 St,40.76068327096592,-73.9845272898674,70,37,2020-04-15
469,Broadway & W 53 St,40.76344058,-73.98268129,57,24,2020-04-15
3714,Division Ave & Hooper St,40.70684203101325,-73.9544353965357,61,28,2020-04-15
3898,E 63 St & 3 Ave,40.763954,-73.9646,57,24,2020-04-15
3141,1 Ave & E 68 St,40.76500525,-73.95818491,58,24,2020-04-15
3467,W Broadway & Spring St,40.72494672359416,-74.00165855884552,44,8,2020-04-15
377,6 Ave & Canal St,40.72243797,-74.00566443,48,5,2020-04-15
369,Washington Pl & 6 Ave,40.73224119,-74.00026394,60,14,2020-04-15
349,Rivington St & Ridge St,40.71850211,-73.98329859,61,14,2020-04-15
470,W 20 St & 8 Ave,40.74345335,-74.00004031,72,26,2020-04-15
3177,W 84 St & Broadway,40.7867947,-73.977112,63,12,2020-04-15
519,Pershing Square North,40.751873,-73.977706,69,15,2020-04-15
517,Pershing Square South,40.751581,-73.97791,69,9,2020-04-15
3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,14,14,2020-04-15
